Key,Value
about_internal_strings,此字串表收藏原本寫死在 FALL.EXE 的文本，以及 Daggerfall Unity 獨有的文本。
pleaseSelectYourHomeProvince,請選擇你的故鄉省份...
saveGame,儲存遊戲
loadGame,讀取遊戲
thingJustDied,%s剛剛死了。
gameSaved,遊戲已儲存。
gameLoaded,遊戲已讀取。
thisHouseHasNothingOfValue,這間房子沒有任何值錢的東西。
findLocationPrompt,輸入地點名稱： 
rightHandEquipped,已裝備右手。
leftHandEquipped,已裝備左手。
usingRightHand,使用右手武器。
usingLeftHand,使用左手武器。
itemHasBroken,%s已經損壞。
itemHasBrokenPlural,%s已經損壞。
cannotCarryGold,你帶不了那麼多金幣。
cannotFloat,你帶的東西太多，無法浮在水面。
youHaveNoArrows,你沒有箭矢。
oldSaveNoTrade,已讀取舊版室內存檔，交易視窗將無法使用，請離開並重新進入建築物。
theBodyHasNoTreasure,這具屍體沒有財寶。
youAreTooFarAway,你離得太遠了...
youSeeAn,你看到一個%s。
youSeeA,你看到一個%s。
youSeeADeadPerson,你看到一具屍體。
youSeeADead,你看到一具死去的%s。
youCollectArrows,你從屍體上拔回自己的箭矢。
loiterHowManyHours,要閒晃幾小時： 
restHowManyHours,要休息幾小時： 
potionRecipeFor,%po藥劑配方
potionRecipeWeight,重量：%kg 公斤
potionOf,%po藥劑
letterPrefix,信件： 
multipleAssignments,你有多項任務...
youAreEntering,你正在進入%s
storeClosed,商店已打烊。營業時間為 %d1:00 至 %d2:00。
guildClosed,公會已打烊。營業時間為 %d1:00 至 %d2:00。
any,任何%s
arkayDesc,誕生與死亡之神
zenDesc,工作與商業之神
maraDesc,愛之女神
akatoshDesc,時間之神
julianosDesc,邏輯之神
dibellaDesc,美之女神
stendarDesc,慈悲之神
kynarethDesc,空氣之女神
interactionIsNowInMode,互動已切換為%s模式。
steal,偷竊
grab,拿取
info,資訊
dialogue,對話
residence,住宅
youSee,你看到%s。
theNamedResidence,%s宅邸
playerResidence,%s的房子
materialIneffective,你使用的武器材質無效。
successfulBackstab,背刺成功！
languagePacified,以%s技能安撫了%e。
lockpickingSuccess,鎖喀一聲打開了。
lockpickingFailure,打不開。
magicLock,這是被魔法封住的鎖...
lockpickChance1,這把鎖對你毫無壓力...
lockpickChance2,你能撬開這把鎖簡直是奇蹟...
lockpickChance3,這把鎖看來已超出你的能力...
buildingNames,"阿卡托什神殿
阿凱神殿
迪貝拉神殿
朱利安諾斯神殿
凱娜瑞斯神殿
瑪拉神殿
斯丹達爾神殿
澤尼薩爾神殿
渡鴉騎士團
巨龍騎士團
貓頭鷹騎士團
燭火騎士團
火焰騎士團
號角騎士團
玫瑰騎士團
車輪騎士團
聖甲蟲騎士團
鷹騎士團
法師公會
戰士公會
酒館
圖書館
武器店
盔甲店
煉金術士
銀行
書店
服裝店
寶石店
當鋪"
lockpickChance,"你懷疑自己打不開這把鎖...
這把鎖看起來很難...
這把鎖會讓你吃足苦頭...
這把鎖會是一場好挑戰...
你覺得應該撬得開這把鎖...
這把鎖看來相對容易...
你覺得這把鎖挺有趣...
你嘲笑這把鎖的業餘水準...
你看到一把慘不忍睹的鎖...
這把鎖簡直是在侮辱你的能力..."
youPinchedGoldPiece,你偷到了 1 枚金幣。
youPinchedGoldPieces,你偷到了 %d 枚金幣。
youAreNotSuccessful,你沒有成功...
daysUntilFreedom,距離自由還有 %d 天。
skillImprove,你的%s技能提升了。
mustDistributeBonusPoints,你必須分配完所有加分點數。
enterNewName,輸入新名稱： 
affiliation,所屬
rank,階級
serviceQuests,接任務
serviceSell,出售
serviceBanking,銀行
serviceIdentify,鑑定
serviceBuySpells,購買法術
serviceTraining,訓練
serviceTeleport,傳送
serviceMakeSpells,製作法術
serviceBuyMagicItems,購買魔法物品
serviceSellMagicItems,出售魔法物品
serviceDaedraSummon,召喚迪德拉
serviceMakeMagicItems,製作魔法物品
serviceRepairs,修理
serviceDonate,捐獻
serviceCure,治療疾病
serviceSpymaster,間諜頭目
serviceMakePotions,製作藥劑
serviceBuyPotions,購買藥劑
serviceBuySoulgems,購買靈魂石
serviceReceiveArmor,領取盔甲
serviceReceiveHouse,領取房屋
serviceReceiveHouseAlready,你已經領過房屋了。
accessMembersOnly,你需要成為足夠階級的成員才能使用此服務。
serviceCured,你已痊癒。
serviceSummonCost1,%pcn，我嘗試進行
serviceSummonCost2,召喚%dae的費用為 
serviceSummonCost3, 金幣。
roomFreeForKnightSuchAsYou,像你這樣的騎士可以免費住宿。
roomFreeDueToHeartsDay,因心之日，房間免費。
youAreNotHungry,你並不餓。
exhaustedInWater,疲勞征服了你，把你送進水墳....
